NearUserPos,FarUserPos,FarUserDist,TransmitPower,SNR,SumRateFarUser,SumRateNearUser,BERFarUser,BERNearUser,OutageProbFarUser,OutageProbNearUser,MAScheme
b2,a1,21.2132,-102,-18,0.00242485684230995,0.00242485684230995,0.4968,0.4566,1,1,NOMA
b2,a1,21.2132,-101.5,-17.5,0.00516972372890913,0.00516972372890913,0.4911,0.4859,1,1,OMA
b2,a1,21.2132,-101.5,-17.5,0.00266135410704461,0.00266135410704461,0.4903,0.4625,1,1,NOMA
b2,a1,21.2132,-101,-17,0.0057966615318415,0.0057966615318415,0.4938,0.4873,1,1,OMA
b2,a1,21.2132,-101,-17,0.00298577507037502,0.00298577507037502,0.4934,0.4624,1,1,NOMA
b2,a1,21.2132,-100.5,-16.5,0.00648198088563287,0.00648198088563287,0.4938,0.4793,1,1,OMA
b2,a1,21.2132,-100.5,-16.5,0.00334082470290913,0.00334082470290913,0.4937,0.4552,1,1,NOMA
b2,a1,21.2132,-100,-16,0.00725959795950436,0.00725959795950436,0.5021,0.4784,1,1,OMA
b2,a1,21.2132,-100,-16,0.00374663131735564,0.00374663131735564,0.5015,0.4477,1,1,NOMA
b2,a1,21.2132,-99.5,-15.5,0.00814293242406249,0.00814293242406249,0.4989,0.4654,1,1,OMA
b2,a1,21.2132,-99.5,-15.5,0.00420573437188799,0.00420573437188799,0.4981,0.4452,1,1,NOMA
b2,a1,21.2132,-99,-15,0.00917840179826596,0.00917840179826596,0.4884,0.4708,1,1,OMA
b2,a1,21.2132,-99,-15,0.00474387645216441,0.00474387645216441,0.4881,0.4411,1,1,NOMA
b2,a1,21.2132,-98.5,-14.5,0.0102861494704306,0.0102861494704306,0.4925,0.4642,1,1,OMA
b2,a1,21.2132,-98.5,-14.5,0.00532288485451144,0.00532288485451144,0.4919,0.4374,1,1,NOMA
b2,a1,21.2132,-98,-14,0.0114445370859269,0.0114445370859269,0.4892,0.483,1,1,OMA
b2,a1,21.2132,-98,-14,0.00592972334393374,0.00592972334393374,0.4883,0.4512,1,1,NOMA
b2,a1,21.2132,-97.5,-13.5,0.0129982603079948,0.0129982603079948,0.4907,0.4584,1,1,OMA
b2,a1,21.2132,-97.5,-13.5,0.00674155341619232,0.00674155341619232,0.489,0.4278,1,1,NOMA
b2,a1,21.2132,-97,-13,0.0144852078979044,0.0144852078979044,0.4798,0.4641,1,1,OMA
b2,a1,21.2132,-97,-13,0.00752622144166403,0.00752622144166403,0.4793,0.4256,1,1,NOMA
b2,a1,21.2132,-96.5,-12.5,0.0162732322345051,0.0162732322345051,0.4897,0.462,1,1,OMA
b2,a1,21.2132,-96.5,-12.5,0.00847006958760001,0.00847006958760001,0.4884,0.4238,1,1,NOMA
b2,a1,21.2132,-96,-12,0.0181361512864909,0.0181361512864909,0.49,0.466,1,1,OMA
b2,a1,21.2132,-96,-12,0.00945423709155058,0.00945423709155058,0.4896,0.4198,1,1,NOMA
b2,a1,21.2132,-95.5,-11.5,0.0200554502048257,0.0200554502048257,0.4998,0.4628,1,1,OMA
b2,a1,21.2132,-95.5,-11.5,0.0104875592486385,0.0104875592486385,0.498,0.4224,1,1,NOMA
b2,a1,21.2132,-95,-11,0.0224811945383209,0.0224811945383209,0.4893,0.4589,1,1,OMA
b2,a1,21.2132,-95,-11,0.0117724884809799,0.0117724884809799,0.4879,0.4132,1,1,NOMA
b2,a1,21.2132,-94.5,-10.5,0.0249601336170708,0.0249601336170708,0.4932,0.4548,1,1,OMA
b2,a1,21.2132,-94.5,-10.5,0.0131068421803383,0.0131068421803383,0.4912,0.4033,1,1,NOMA
b2,a1,21.2132,-94,-10,0.0280556188023824,0.0280556188023824,0.4913,0.4596,1,1,OMA
b2,a1,21.2132,-94,-10,0.0147745116586931,0.0147745116586931,0.4894,0.4023,1,1,NOMA
b2,a1,21.2132,-93.5,-9.5,0.0315679673659069,0.0315679673659069,0.4877,0.4608,1,1,OMA
b2,a1,21.2132,-93.5,-9.5,0.0166814486998647,0.0166814486998647,0.4879,0.3968,1,1,NOMA
b2,a1,21.2132,-93,-9,0.0356791566530594,0.0356791566530594,0.4897,0.4486,1,1,OMA
b2,a1,21.2132,-93,-9,0.0189140819572083,0.0189140819572083,0.4873,0.3833,1,1,NOMA
b2,a1,21.2132,-92.5,-8.5,0.0395634606604307,0.0395634606604307,0.4788,0.4448,1,1,OMA
b2,a1,21.2132,-92.5,-8.5,0.0210526110294733,0.0210526110294733,0.4776,0.3792,1,1,NOMA
b2,a1,21.2132,-92,-8,0.0434181330874685,0.0434181330874685,0.4915,0.4492,1,1,OMA
b2,a1,21.2132,-92,-8,0.0231970242281567,0.0231970242281567,0.4897,0.3776,1,1,NOMA
b2,a1,21.2132,-91.5,-7.5,0.0492425403083762,0.0492425403083762,0.487,0.4456,1,1,OMA
b2,a1,21.2132,-91.5,-7.5,0.0264543914870117,0.0264543914870117,0.4839,0.3739,1,1,NOMA
b2,a1,21.2132,-91,-7,0.0545013486225992,0.0545013486225992,0.4784,0.4476,1,1,OMA
b2,a1,21.2132,-91,-7,0.0293938456249641,0.0293938456249641,0.4771,0.3671,1,1,NOMA
b2,a1,21.2132,-90.5,-6.5,0.061118861784472,0.061118861784472,0.4886,0.4455,1,1,OMA
b2,a1,21.2132,-90.5,-6.5,0.0331726861064415,0.0331726861064415,0.4865,0.359,1,1,NOMA
b2,a1,21.2132,-90,-6,0.0665095447409907,0.0665095447409907,0.4912,0.4418,1,1,OMA
b2,a1,21.2132,-90,-6,0.0362874131046614,0.0362874131046614,0.4896,0.357,1,1,NOMA
b2,a1,21.2132,-89.5,-5.5,0.0742485847070832,0.0742485847070832,0.4834,0.445,1,1,OMA
b2,a1,21.2132,-89.5,-5.5,0.0407963590476894,0.0407963590476894,0.4819,0.3451,1,1,NOMA
