NearUserPos,FarUserPos,FarUserDist,TransmitPower,SNR,SumRateFarUser,SumRateNearUser,BERFarUser,BERNearUser,OutageProbFarUser,OutageProbNearUser,MAScheme
b2,a1,21.2132,-64,20,3.27342585721069,3.27342585721069,0.2666,0.0401,0.9818,0.2536,NOMA
b2,a1,21.2132,-62,22,2.99150468598085,2.99150468598085,0.17,0.0043,0.9793,0.2134,OMA
b2,a1,21.2132,-62,22,3.93945260398399,3.93945260398399,0.2319,0.0251,0.9222,0.1731,NOMA
b2,a1,21.2132,-60,24,3.44049918212761,3.44049918212761,0.1307,0.0012,0.9135,0.1349,OMA
b2,a1,21.2132,-60,24,4.66917854143265,4.66917854143265,0.2033,0.0176,0.8042,0.1104,NOMA
b2,a1,21.2132,-58,26,3.93839517249572,3.93839517249572,0.0938,0.0013,0.7793,0.0909,OMA
b2,a1,21.2132,-58,26,5.45602421755907,5.45602421755907,0.1699,0.0105,0.6299,0.0736,NOMA
b2,a1,21.2132,-56,28,4.45340471940978,4.45340471940978,0.0648,0.0009,0.6083,0.0553,OMA
b2,a1,21.2132,-56,28,6.2469725667981,6.2469725667981,0.13,0.0071,0.47,0.0445,NOMA
b2,a1,21.2132,-54,30,4.99884463203304,4.99884463203304,0.0425,0.0008,0.4509,0.0344,OMA
b2,a1,21.2132,-54,30,7.05535718218148,7.05535718218148,0.1087,0.0054,0.3233,0.0279,NOMA
b2,a2,15.811,-114,-30,0.000301816615377449,0.000290087097403703,0.4969,0.4848,1,1,OMA
b2,a2,15.811,-114,-30,0.000162461876330333,0.000148694615213204,0.497,0.4879,1,1,NOMA
b2,a2,15.811,-112,-28,0.000475009918592441,0.000462658444411803,0.4925,0.4997,1,1,OMA
b2,a2,15.811,-112,-28,0.000255845990636922,0.000237231872055452,0.4932,0.5049,1,1,NOMA
b2,a2,15.811,-110,-26,0.000762866017178837,0.00072875251031928,0.4936,0.4785,1,1,OMA
b2,a2,15.811,-110,-26,0.000410705356945644,0.000373495038854622,0.4938,0.4859,1,1,NOMA
b2,a2,15.811,-108,-24,0.00120299063957906,0.00117891901108438,0.4819,0.475,1,1,OMA
b2,a2,15.811,-108,-24,0.000648383619501883,0.000604205551932988,0.4822,0.4854,1,1,NOMA
b2,a2,15.811,-106,-22,0.00191184693318021,0.00184166339900296,0.4923,0.4703,1,1,OMA
b2,a2,15.811,-106,-22,0.00103035477322814,0.000945062674026473,0.4922,0.4836,1,1,NOMA
b2,a2,15.811,-104,-20,0.00301188332813378,0.00289892274601156,0.4916,0.4666,1,1,OMA
b2,a2,15.811,-104,-20,0.00162414386990043,0.00148952022771822,0.4927,0.4788,1,1,NOMA
b2,a2,15.811,-102,-18,0.0047128586963014,0.00454423781885191,0.4986,0.4634,1,1,OMA
b2,a2,15.811,-102,-18,0.00255281567702184,0.00233925244583149,0.5008,0.4844,1,1,NOMA
b2,a2,15.811,-100,-16,0.00745229750010953,0.00731180310947102,0.4878,0.4505,1,1,OMA
b2,a2,15.811,-100,-16,0.00403987230129886,0.00377323688464733,0.4893,0.4738,1,1,NOMA
b2,a2,15.811,-98,-14,0.0116683252877606,0.0114392937777401,0.4897,0.4338,1,1,OMA
b2,a2,15.811,-98,-14,0.00635858962295594,0.00592645869114935,0.4917,0.4663,1,1,NOMA
b2,a2,15.811,-96,-12,0.0184383854729491,0.0180257160230276,0.485,0.4247,1,1,OMA
b2,a2,15.811,-96,-12,0.0101023745214863,0.00940451917895388,0.4879,0.4688,1,1,NOMA
