NearUserPos,FarUserPos,NearUserDist,FarUserDist,TransmitPower,SNR,SumRateFarUser,SumRateNearUser,BERFarUser,BERNearUser,OutageProbFarUser,OutageProbNearUser,OptimalMA,NormalizedCapacityNear,NormalizedCapacityFar,NormalizedBERNear,NormalizedBERFar,NormalizedOutageNear,NormalizedOutageFar,Score
c3,a1,21.21320344,49.49747468,-56,28,0.923797065,0.923797065,0.3474,0.0616,1,0.9943,OMA,0.136041663,0.136041663,0.119209149,0.611836184,0.99415804,1,0.229587732
c3,a1,21.21320344,49.49747468,-54,30,1.180219211,1.180219211,0.3063,0.0429,1,0.9509,OMA,0.173803385,0.173803385,0.082961814,0.519351935,0.949677155,1,0.27125514
c3,a2,21.21320344,43.01162634,-114,-30,3.80E-06,3.80E-06,0.4979,0.4914,1,1,OMA,2.76E-07,2.76E-07,0.95231634,0.95049505,1,1,0.008339398
c3,a2,21.21320344,43.01162634,-112,-28,5.98E-06,5.98E-06,0.4951,0.5096,1,1,OMA,5.98E-07,5.98E-07,0.987594495,0.944194419,1,1,0.004615944
c3,a2,21.21320344,43.01162634,-110,-26,9.60E-06,9.60E-06,0.4956,0.4928,1,1,OMA,1.13E-06,1.13E-06,0.955030045,0.945319532,1,1,0.008656181
c3,a2,21.21320344,43.01162634,-108,-24,1.51E-05,1.51E-05,0.4846,0.4937,1,1,OMA,1.95E-06,1.95E-06,0.956774569,0.920567057,1,1,0.011613129
c3,a2,21.21320344,43.01162634,-106,-22,2.41E-05,2.41E-05,0.4954,0.492,1,1,OMA,3.27E-06,3.27E-06,0.953479356,0.944869487,1,1,0.008914373
c3,a2,21.21320344,43.01162634,-104,-20,3.80E-05,3.80E-05,0.499,0.4931,1,1,OMA,5.31E-06,5.31E-06,0.955611553,0.952970297,1,1,0.007600482
c3,a2,21.21320344,43.01162634,-102,-18,5.96E-05,5.96E-05,0.5062,0.4984,1,1,OMA,8.50E-06,8.50E-06,0.965884861,0.969171917,1,1,0.004200084
c3,a2,21.21320344,43.01162634,-100,-16,9.46E-05,9.46E-05,0.4978,0.4937,1,1,OMA,1.36E-05,1.36E-05,0.956774569,0.950270027,1,1,0.007802301
c3,a2,21.21320344,43.01162634,-98,-14,0.000148886,0.000148886,0.5006,0.4909,1,1,OMA,2.16E-05,2.16E-05,0.95134716,0.956570657,1,1,0.007694203
c3,a2,21.21320344,43.01162634,-96,-12,0.000237235,0.000237235,0.4984,0.4921,1,1,OMA,3.47E-05,3.47E-05,0.953673192,0.951620162,1,1,0.008038135
c3,a2,21.21320344,43.01162634,-94,-10,0.000378806,0.000378806,0.4966,0.4932,1,1,OMA,5.55E-05,5.55E-05,0.955805389,0.947569757,1,1,0.008295341
c3,a2,21.21320344,43.01162634,-92,-8,0.000607136,0.000607136,0.4973,0.4816,1,1,OMA,8.91E-05,8.91E-05,0.933320411,0.949144914,1,1,0.010999542
c3,a2,21.21320344,43.01162634,-90,-6,0.000955373,0.000955373,0.4849,0.4733,1,1,OMA,0.000140409,0.000140409,0.917232022,0.921242124,1,1,0.016678779
c3,a2,21.21320344,43.01162634,-88,-4,0.001488485,0.001488485,0.4983,0.4802,1,1,OMA,0.000218918,0.000218918,0.930606707,0.95139514,1,1,0.011125812
c3,a2,21.21320344,43.01162634,-86,-2,0.002400098,0.002400098,0.4929,0.4757,1,1,OMA,0.000353165,0.000353165,0.921884086,0.939243924,1,1,0.013877108
c3,a2,21.21320344,43.01162634,-84,0,0.003766837,0.003766837,0.4852,0.4698,1,1,OMA,0.000554437,0.000554437,0.910447761,0.921917192,1,1,0.017676622
c3,a2,21.21320344,43.01162634,-82,2,0.006002433,0.006002433,0.492,0.4558,1,1,OMA,0.000883659,0.000883659,0.883310719,0.937218722,1,1,0.019366709
c3,a2,21.21320344,43.01162634,-80,4,0.009262127,0.009262127,0.4941,0.4517,1,1,OMA,0.001363694,0.001363694,0.875363443,0.941944194,1,1,0.02002745
c3,a2,21.21320344,43.01162634,-78,6,0.014652593,0.014652593,0.4836,0.4371,1,1,OMA,0.002157515,0.002157515,0.847063384,0.918316832,1,1,0.027108161
c3,a2,21.21320344,43.01162634,-76,8,0.022765265,0.022765265,0.4736,0.4155,1,1,OMA,0.003352219,0.003352219,0.805194805,0.895814581,1,1,0.035993908
c3,a2,21.21320344,43.01162634,-74,10,0.035958656,0.035958656,0.4762,0.4022,1,1,OMA,0.005295129,0.005295129,0.779414615,0.901665167,1,1,0.039553525
c3,a2,21.21320344,43.01162634,-72,12,0.056081739,0.056081739,0.4682,0.3697,1,1,OMA,0.008258532,0.008258532,0.71641791,0.883663366,1,1,0.051485045
c3,a2,21.21320344,43.01162634,-70,14,0.086391818,0.086391818,0.4602,0.3281,1,1,OMA,0.012722112,0.012722112,0.635782128,0.865661566,1,1,0.066454284
c3,a2,21.21320344,43.01162634,-68,16,0.12992383,0.12992383,0.4508,0.2978,1,1,OMA,0.019132806,0.019132806,0.577049816,0.844509451,1,1,0.080014556
c3,a2,21.21320344,43.01162634,-66,18,0.191209939,0.191209939,0.432,0.2583,1,1,OMA,0.028158036,0.028158036,0.50048459,0.802205221,1,1,0.099928288
c3,a2,21.21320344,43.01162634,-64,20,0.280463595,0.280463595,0.4171,0.2073,1,1,OMA,0.041301876,0.041301876,0.401628223,0.768676868,1,1,0.123695705
c3,a2,21.21320344,43.01162634,-62,22,0.394287814,0.394287814,0.39,0.169,1,1,OMA,0.058064073,0.058064073,0.327389029,0.70769577,1,1,0.149687332
c3,a2,21.21320344,43.01162634,-60,24,0.541840521,0.541840521,0.3668,0.1302,1,1,OMA,0.079793258,0.079793258,0.252180655,0.655490549,1,1,0.177228833
c3,a2,21.21320344,43.01162634,-58,26,0.736538138,0.736538138,0.3367,0.094,1,0.9996,OMA,0.108465186,0.108465186,0.182012018,0.587758776,0.999590038,1,0.20973915
c3,a2,21.21320344,43.01162634,-56,28,0.954357474,0.954357474,0.3007,0.0659,1,0.9925,OMA,0.140542108,0.140542108,0.127544098,0.506750675,0.992313211,1,0.244570497
c3,a2,21.21320344,43.01162634,-54,30,1.230480273,1.230480273,0.2623,0.0448,1,0.9523,OMA,0.181205024,0.181205024,0.086644699,0.420342034,0.951112022,1,0.287124755
c3,a3,21.21320344,38.07886553,-114,-30,2.29E-06,2.29E-06,0.4946,0.4968,1,1,NOMA,5.47E-08,5.47E-08,0.962783485,0.943069307,1,1,0.007948463
c3,a3,21.21320344,38.07886553,-112,-28,3.65E-06,3.65E-06,0.4994,0.5096,1,1,NOMA,2.55E-07,2.55E-07,0.987594495,0.953870387,1,1,0.003372404
c3,a3,21.21320344,38.07886553,-110,-26,9.82E-06,9.82E-06,0.4867,0.4916,1,1,OMA,1.16E-06,1.16E-06,0.952704012,0.925292529,1,1,0.011528568
c3,a3,21.21320344,38.07886553,-108,-24,1.55E-05,1.55E-05,0.4989,0.5006,1,1,OMA,2.00E-06,2.00E-06,0.970149254,0.952745275,1,1,0.005759594
c3,a3,21.21320344,38.07886553,-106,-22,2.48E-05,2.48E-05,0.4933,0.5023,1,1,OMA,3.36E-06,3.36E-06,0.973444466,0.940144014,1,1,0.006956126
c3,a3,21.21320344,38.07886553,-104,-20,3.86E-05,3.86E-05,0.4982,0.4984,1,1,OMA,5.40E-06,5.40E-06,0.965884861,0.951170117,1,1,0.006511727
c3,a3,21.21320344,38.07886553,-102,-18,6.18E-05,6.18E-05,0.497,0.4965,1,1,OMA,8.82E-06,8.82E-06,0.962201977,0.948469847,1,1,0.00733372
c3,a3,21.21320344,38.07886553,-100,-16,9.90E-05,9.90E-05,0.4956,0.4916,1,1,OMA,1.43E-05,1.43E-05,0.952704012,0.945319532,1,1,0.008961847
c3,a3,21.21320344,38.07886553,-98,-14,0.000153708,0.000153708,0.502,0.4864,1,1,OMA,2.24E-05,2.24E-05,0.94262454,0.959720972,1,1,0.008410611
c3,a3,21.21320344,38.07886553,-96,-12,0.000247859,0.000247859,0.4971,0.4911,1,1,OMA,3.62E-05,3.62E-05,0.951734832,0.948694869,1,1,0.00866392
c3,a3,21.21320344,38.07886553,-94,-10,0.000390153,0.000390153,0.4908,0.4861,1,1,OMA,5.72E-05,5.72E-05,0.942043032,0.934518452,1,1,0.011741763
c3,a3,21.21320344,38.07886553,-92,-8,0.00061712,0.00061712,0.5053,0.488,1,1,OMA,9.06E-05,9.06E-05,0.945725916,0.967146715,1,1,0.007092951
c3,a3,21.21320344,38.07886553,-90,-6,0.000977087,0.000977087,0.4898,0.4851,1,1,OMA,0.000143607,0.000143607,0.940104671,0.932268227,1,1,0.012324424
c3,a3,21.21320344,38.07886553,-88,-4,0.001548804,0.001548804,0.4941,0.4701,1,1,OMA,0.0002278,0.0002278,0.911029269,0.941944194,1,1,0.014860532
c3,a3,21.21320344,38.07886553,-86,-2,0.002444765,0.002444765,0.4891,0.4762,1,1,OMA,0.000359743,0.000359743,0.922853266,0.930693069,1,1,0.014854736
c3,a3,21.21320344,38.07886553,-84,0,0.003874801,0.003874801,0.4866,0.4624,1,1,OMA,0.000570336,0.000570336,0.896103896,0.925067507,1,1,0.019123168
c3,a3,21.21320344,38.07886553,-82,2,0.00612657,0.00612657,0.4843,0.4578,1,1,OMA,0.00090194,0.00090194,0.887187439,0.919891989,1,1,0.021104435
c3,a3,21.21320344,38.07886553,-80,4,0.009810698,0.009810698,0.4755,0.4452,1,1,OMA,0.001444479,0.001444479,0.862764102,0.900090009,1,1,0.027066265
c3,a3,21.21320344,38.07886553,-78,6,0.015419132,0.015419132,0.4808,0.4288,1,1,OMA,0.002270399,0.002270399,0.830974995,0.912016202,1,1,0.030043178
c3,a3,21.21320344,38.07886553,-76,8,0.024143539,0.024143539,0.4725,0.4058,1,1,OMA,0.003555189,0.003555189,0.786392712,0.893339334,1,1,0.038832378
c3,a3,21.21320344,38.07886553,-74,10,0.037167695,0.037167695,0.4672,0.3977,1,1,OMA,0.005473177,0.005473177,0.770691995,0.881413141,1,1,0.043368291
c3,a3,21.21320344,38.07886553,-72,12,0.057707305,0.057707305,0.4576,0.3719,1,1,OMA,0.00849792,0.00849792,0.720682303,0.859810981,1,1,0.054125153
c3,a3,21.21320344,38.07886553,-70,14,0.089110231,0.089110231,0.449,0.3241,1,1,OMA,0.013122436,0.013122436,0.628028688,0.840459046,1,1,0.0708949
c3,a3,21.21320344,38.07886553,-68,16,0.134735238,0.134735238,0.4337,0.2954,1,1,OMA,0.019841352,0.019841352,0.572397752,0.806030603,1,1,0.085921082
