No,Comb,DistanceNu,DistanceFu,tSNR,rSINRFu,rSINRNu,cGainFu,cGainNu,SumRate,OutageFu,OutageNu,BERFu,BerNu
48,c3d4,7.071,21.2132,-114,0.000004985,0.000395458,4.9124E-06,0.0004015,0.00029524,1,1,0.4961,0.4839
49,b2a1,7.071,21.2132,-109,1.54301E-05,0.001261571,4.9124E-06,0.0004015,0.00090676,1,1,0.5008,0.4735
50,b2a2,7.071,15.811,-109,5.02278E-05,0.001249849,1.58107E-05,0.000403975,0.000939591,1,1,0.4917,0.4812
51,b2a3,7.071,15.811,-109,5.08264E-05,0.001264708,1.58743E-05,0.00039551,0.000944378,1,1,0.498,0.4815
52,b2a4,7.071,21.2132,-109,1.56324E-05,0.001279926,4.9496E-06,0.000403517,0.000921569,1,1,0.494,0.4754
53,b2b1,7.071,15.811,-109,5.12163E-05,0.001242474,1.59749E-05,0.000396647,0.00094045,1,1,0.4959,0.485
54,b2b4,7.071,15.811,-109,5.11505E-05,0.001270474,1.59771E-05,0.000395508,0.000945872,1,1,0.4965,0.4809
55,b2c1,7.071,15.811,-109,4.98511E-05,0.001265206,1.60552E-05,0.0004059,0.000959964,1,1,0.5063,0.4812
56,b2c4,7.071,15.811,-109,5.04436E-05,0.001254595,1.60065E-05,0.000405204,0.000953057,1,1,0.4971,0.4776
57,b2d1,7.071,21.2132,-109,1.55563E-05,0.001277772,4.9691E-06,0.000396236,0.00093493,1,1,0.5,0.4721
58,b2d2,7.071,15.811,-109,5.12435E-05,0.001257222,0.000016043,0.000394561,0.000941738,1,1,0.5011,0.4891
59,b2d3,7.071,15.811,-109,5.08514E-05,0.001271065,1.60417E-05,0.00039778,0.000952379,1,1,0.4975,0.4858
60,b2d4,7.071,21.2132,-109,1.57641E-05,0.001250548,4.9124E-06,0.0004015,0.000932804,1,1,0.4951,0.476
61,b3a1,7.071,21.2132,-109,1.54301E-05,0.001261571,4.9124E-06,0.0004015,0.00090676,1,1,0.5008,0.4735
62,b3a2,7.071,15.811,-109,5.02278E-05,0.001249849,1.58107E-05,0.000403975,0.000939591,1,1,0.4917,0.4812
63,b3a3,7.071,15.811,-109,5.08264E-05,0.001264708,1.58743E-05,0.00039551,0.000944378,1,1,0.498,0.4815
64,b3a4,7.071,21.2132,-109,1.56324E-05,0.001279926,4.9496E-06,0.000403517,0.000921569,1,1,0.494,0.4754
65,b3b1,7.071,15.811,-109,5.12163E-05,0.001242474,1.59749E-05,0.000396647,0.00094045,1,1,0.4959,0.485
66,b3b4,7.071,15.811,-109,5.11505E-05,0.001270474,1.59771E-05,0.000395508,0.000945872,1,1,0.4965,0.4809
67,b3c1,7.071,15.811,-109,4.98511E-05,0.001265206,1.60552E-05,0.0004059,0.000959964,1,1,0.5063,0.4812
68,b3c4,7.071,15.811,-109,5.04436E-05,0.001254595,1.60065E-05,0.000405204,0.000953057,1,1,0.4971,0.4776
69,b3d1,7.071,21.2132,-109,1.55563E-05,0.001277772,4.9691E-06,0.000396236,0.00093493,1,1,0.5,0.4721
70,b3d2,7.071,15.811,-109,5.12435E-05,0.001257222,0.000016043,0.000394561,0.000941738,1,1,0.5011,0.4891
71,b3d3,7.071,15.811,-109,5.08514E-05,0.001271065,1.60417E-05,0.00039778,0.000952379,1,1,0.4975,0.4858
72,b3d4,7.071,21.2132,-109,1.57641E-05,0.001250548,4.9124E-06,0.0004015,0.000932804,1,1,0.4951,0.476
73,c2a1,7.071,21.2132,-109,1.54301E-05,0.001261571,4.9124E-06,0.0004015,0.00090676,1,1,0.5008,0.4735
74,c2a2,7.071,15.811,-109,5.02278E-05,0.001249849,1.58107E-05,0.000403975,0.000939591,1,1,0.4917,0.4812
75,c2a3,7.071,15.811,-109,5.08264E-05,0.001264708,1.58743E-05,0.00039551,0.000944378,1,1,0.498,0.4815
76,c2a4,7.071,21.2132,-109,1.56324E-05,0.001279926,4.9496E-06,0.000403517,0.000921569,1,1,0.494,0.4754
